Año,Provincia,Tasa de Desempleo Provincia,Canton,Tasa de Desempleo Canton
2016,AZUAY,2.9,QUITO,9.1
2016,AZUAY,2.9,GUAYAQUIL,6.4
2016,AZUAY,2.9,CUENCA,4.8
2016,AZUAY,2.9,MACHALA,5.3
2016,AZUAY,2.9,AMBATO,7.1
2016,BOLIVAR,2.7,QUITO,9.1
2016,BOLIVAR,2.7,GUAYAQUIL,6.4
2016,BOLIVAR,2.7,CUENCA,4.8
2016,BOLIVAR,2.7,MACHALA,5.3
2016,BOLIVAR,2.7,AMBATO,7.1
2016,CAÑAR,5.1,QUITO,9.1
2016,CAÑAR,5.1,GUAYAQUIL,6.4
2016,CAÑAR,5.1,CUENCA,4.8
2016,CAÑAR,5.1,MACHALA,5.3
2016,CAÑAR,5.1,AMBATO,7.1
2016,CARCHI,5.7,QUITO,9.1
2016,CARCHI,5.7,GUAYAQUIL,6.4
2016,CARCHI,5.7,CUENCA,4.8
2016,CARCHI,5.7,MACHALA,5.3
2016,CARCHI,5.7,AMBATO,7.1
2016,COTOPAXI,2.6,QUITO,9.1
2016,COTOPAXI,2.6,GUAYAQUIL,6.4
2016,COTOPAXI,2.6,CUENCA,4.8
2016,COTOPAXI,2.6,MACHALA,5.3
2016,COTOPAXI,2.6,AMBATO,7.1
2016,CHIMBORAZO,1.3,QUITO,9.1
2016,CHIMBORAZO,1.3,GUAYAQUIL,6.4
2016,CHIMBORAZO,1.3,CUENCA,4.8
2016,CHIMBORAZO,1.3,MACHALA,5.3
2016,CHIMBORAZO,1.3,AMBATO,7.1
2016,EL ORO,4.1,QUITO,9.1
2016,EL ORO,4.1,GUAYAQUIL,6.4
2016,EL ORO,4.1,CUENCA,4.8
2016,EL ORO,4.1,MACHALA,5.3
2016,EL ORO,4.1,AMBATO,7.1
2016,ESMERALDAS,8.9,QUITO,9.1
2016,ESMERALDAS,8.9,GUAYAQUIL,6.4
2016,ESMERALDAS,8.9,CUENCA,4.8
2016,ESMERALDAS,8.9,MACHALA,5.3
2016,ESMERALDAS,8.9,AMBATO,7.1
2016,GUAYAS,6.4,QUITO,9.1
2016,GUAYAS,6.4,GUAYAQUIL,6.4
2016,GUAYAS,6.4,CUENCA,4.8
2016,GUAYAS,6.4,MACHALA,5.3
2016,GUAYAS,6.4,AMBATO,7.1
2016,IMBABURA,5.3,QUITO,9.1
2016,IMBABURA,5.3,GUAYAQUIL,6.4
2016,IMBABURA,5.3,CUENCA,4.8
2016,IMBABURA,5.3,MACHALA,5.3
2016,IMBABURA,5.3,AMBATO,7.1
2016,LOJA,5.4,QUITO,9.1
2016,LOJA,5.4,GUAYAQUIL,6.4
2016,LOJA,5.4,CUENCA,4.8
2016,LOJA,5.4,MACHALA,5.3
2016,LOJA,5.4,AMBATO,7.1
2016,LOS RIOS,4.4,QUITO,9.1
2016,LOS RIOS,4.4,GUAYAQUIL,6.4
2016,LOS RIOS,4.4,CUENCA,4.8
2016,LOS RIOS,4.4,MACHALA,5.3
2016,LOS RIOS,4.4,AMBATO,7.1
2016,MANABI,3.1,QUITO,9.1
2016,MANABI,3.1,GUAYAQUIL,6.4
