Año,Provincia,Poblacion Provincia,Canton,Población Canton
2016,AZUAY,837801.0,QUITO,1875436
2016,AZUAY,837801.0,GUAYAQUIL,2538209
2016,AZUAY,837801.0,CUENCA,386346
2016,AZUAY,837801.0,MACHALA,262307
2016,AZUAY,837801.0,AMBATO,186621
2016,BOLIVAR,206761.0,QUITO,1875436
2016,BOLIVAR,206761.0,GUAYAQUIL,2538209
2016,BOLIVAR,206761.0,CUENCA,386346
2016,BOLIVAR,206761.0,MACHALA,262307
2016,BOLIVAR,206761.0,AMBATO,186621
2016,CAÑAR,267923.0,QUITO,1875436
2016,CAÑAR,267923.0,GUAYAQUIL,2538209
2016,CAÑAR,267923.0,CUENCA,386346
2016,CAÑAR,267923.0,MACHALA,262307
2016,CAÑAR,267923.0,AMBATO,186621
2016,CARCHI,182859.0,QUITO,1875436
2016,CARCHI,182859.0,GUAYAQUIL,2538209
2016,CARCHI,182859.0,CUENCA,386346
2016,CARCHI,182859.0,MACHALA,262307
2016,CARCHI,182859.0,AMBATO,186621
2016,COTOPAXI,472986.0,QUITO,1875436
2016,COTOPAXI,472986.0,GUAYAQUIL,2538209
2016,COTOPAXI,472986.0,CUENCA,386346
2016,COTOPAXI,472986.0,MACHALA,262307
2016,COTOPAXI,472986.0,AMBATO,186621
2016,CHIMBORAZO,515248.0,QUITO,1875436
2016,CHIMBORAZO,515248.0,GUAYAQUIL,2538209
2016,CHIMBORAZO,515248.0,CUENCA,386346
2016,CHIMBORAZO,515248.0,MACHALA,262307
2016,CHIMBORAZO,515248.0,AMBATO,186621
2016,EL ORO,685431.0,QUITO,1875436
2016,EL ORO,685431.0,GUAYAQUIL,2538209
2016,EL ORO,685431.0,CUENCA,386346
2016,EL ORO,685431.0,MACHALA,262307
2016,EL ORO,685431.0,AMBATO,186621
2016,ESMERALDAS,616329.0,QUITO,1875436
2016,ESMERALDAS,616329.0,GUAYAQUIL,2538209
2016,ESMERALDAS,616329.0,CUENCA,386346
2016,ESMERALDAS,616329.0,MACHALA,262307
2016,ESMERALDAS,616329.0,AMBATO,186621
2016,GUAYAS,4172350.0,QUITO,1875436
2016,GUAYAS,4172350.0,GUAYAQUIL,2538209
2016,GUAYAS,4172350.0,CUENCA,386346
2016,GUAYAS,4172350.0,MACHALA,262307
2016,GUAYAS,4172350.0,AMBATO,186621
2016,IMBABURA,456259.0,QUITO,1875436
2016,IMBABURA,456259.0,GUAYAQUIL,2538209
2016,IMBABURA,456259.0,CUENCA,386346
2016,IMBABURA,456259.0,MACHALA,262307
2016,IMBABURA,456259.0,AMBATO,186621
2016,LOJA,505157.0,QUITO,1875436
2016,LOJA,505157.0,GUAYAQUIL,2538209
2016,LOJA,505157.0,CUENCA,386346
2016,LOJA,505157.0,MACHALA,262307
2016,LOJA,505157.0,AMBATO,186621
2016,LOS RIOS,885875.0,QUITO,1875436
2016,LOS RIOS,885875.0,GUAYAQUIL,2538209
2016,LOS RIOS,885875.0,CUENCA,386346
2016,LOS RIOS,885875.0,MACHALA,262307
2016,LOS RIOS,885875.0,AMBATO,186621
2016,MANABI,1522324.0,QUITO,1875436
2016,MANABI,1522324.0,GUAYAQUIL,2538209
2016,MANABI,1522324.0,CUENCA,386346
2016,MANABI,1522324.0,MACHALA,262307
2016,MANABI,1522324.0,AMBATO,186621
2016,MORONA SANTIAGO,184841.0,QUITO,1875436
2016,MORONA SANTIAGO,184841.0,GUAYAQUIL,2538209
2016,MORONA SANTIAGO,184841.0,CUENCA,386346
2016,MORONA SANTIAGO,184841.0,MACHALA,262307
2016,MORONA SANTIAGO,184841.0,AMBATO,186621
2016,NAPO,125885.0,QUITO,1875436
2016,NAPO,125885.0,GUAYAQUIL,2538209
2016,NAPO,125885.0,CUENCA,386346
2016,NAPO,125885.0,MACHALA,262307
2016,NAPO,125885.0,AMBATO,186621
2016,PASTAZA,105852.0,QUITO,1875436
2016,PASTAZA,105852.0,GUAYAQUIL,2538209
2016,PASTAZA,105852.0,CUENCA,386346
2016,PASTAZA,105852.0,MACHALA,262307
2016,PASTAZA,105852.0,AMBATO,186621
2016,PICHINCHA,3039198.0,QUITO,1875436
2016,PICHINCHA,3039198.0,GUAYAQUIL,2538209
2016,PICHINCHA,3039198.0,CUENCA,386346
2016,PICHINCHA,3039198.0,MACHALA,262307
2016,PICHINCHA,3039198.0,AMBATO,186621
2016,TUNGURAHUA,573373.0,QUITO,1875436
2016,TUNGURAHUA,573373.0,GUAYAQUIL,2538209
2016,TUNGURAHUA,573373.0,CUENCA,386346
2016,TUNGURAHUA,573373.0,MACHALA,262307
2016,TUNGURAHUA,573373.0,AMBATO,186621
2016,ZAMORA CHINCHIPE,113129.0,QUITO,1875436
2016,ZAMORA CHINCHIPE,113129.0,GUAYAQUIL,2538209
2016,ZAMORA CHINCHIPE,113129.0,CUENCA,386346
2016,ZAMORA CHINCHIPE,113129.0,MACHALA,262307
2016,ZAMORA CHINCHIPE,113129.0,AMBATO,186621
2016,GALAPAGOS,30532.0,QUITO,1875436
2016,GALAPAGOS,30532.0,GUAYAQUIL,2538209
2016,GALAPAGOS,30532.0,CUENCA,386346
2016,GALAPAGOS,30532.0,MACHALA,262307
2016,GALAPAGOS,30532.0,AMBATO,186621
2016,SUCUMBIOS,215991.0,QUITO,1875436
2016,SUCUMBIOS,215991.0,GUAYAQUIL,2538209
2016,SUCUMBIOS,215991.0,CUENCA,386346
2016,SUCUMBIOS,215991.0,MACHALA,262307
2016,SUCUMBIOS,215991.0,AMBATO,186621
2016,ORELLANA,155535.0,QUITO,1875436
2016,ORELLANA,155535.0,GUAYAQUIL,2538209
2016,ORELLANA,155535.0,CUENCA,386346
2016,ORELLANA,155535.0,MACHALA,262307
2016,ORELLANA,155535.0,AMBATO,186621
2016,SANTO DOMINGO DE LOS TSACHILAS,431754.0,QUITO,1875436
2016,SANTO DOMINGO DE LOS TSACHILAS,431754.0,GUAYAQUIL,2538209
2016,SANTO DOMINGO DE LOS TSACHILAS,431754.0,CUENCA,386346
2016,SANTO DOMINGO DE LOS TSACHILAS,431754.0,MACHALA,262307
2016,SANTO DOMINGO DE LOS TSACHILAS,431754.0,AMBATO,186621
2016,SANTA ELENA,371881.0,QUITO,1875436
2016,SANTA ELENA,371881.0,GUAYAQUIL,2538209
2016,SANTA ELENA,371881.0,CUENCA,386346
2016,SANTA ELENA,371881.0,MACHALA,262307
2016,SANTA ELENA,371881.0,AMBATO,186621
2017,AZUAY,1004108.0,QUITO,1907739
2017,AZUAY,1004108.0,GUAYAQUIL,2563585
2017,AZUAY,1004108.0,CUENCA,393502
2017,AZUAY,1004108.0,MACHALA,265218
2017,AZUAY,1004108.0,AMBATO,188805
2017,BOLIVAR,239127.0,QUITO,1907739
2017,BOLIVAR,239127.0,GUAYAQUIL,2563585
2017,BOLIVAR,239127.0,CUENCA,393502
2017,BOLIVAR,239127.0,MACHALA,265218
2017,BOLIVAR,239127.0,AMBATO,188805
2017,CAÑAR,325438.0,QUITO,1907739
2017,CAÑAR,325438.0,GUAYAQUIL,2563585
2017,CAÑAR,325438.0,CUENCA,393502
2017,CAÑAR,325438.0,MACHALA,265218
2017,CAÑAR,325438.0,AMBATO,188805
2017,CARCHI,275136.0,QUITO,1907739
2017,CARCHI,275136.0,GUAYAQUIL,2563585
2017,CARCHI,275136.0,CUENCA,393502
2017,CARCHI,275136.0,MACHALA,265218
2017,CARCHI,275136.0,AMBATO,188805
2017,COTOPAXI,696305.0,QUITO,1907739
2017,COTOPAXI,696305.0,GUAYAQUIL,2563585
2017,COTOPAXI,696305.0,CUENCA,393502
2017,COTOPAXI,696305.0,MACHALA,265218
2017,COTOPAXI,696305.0,AMBATO,188805
2017,CHIMBORAZO,434234.0,QUITO,1907739
2017,CHIMBORAZO,434234.0,GUAYAQUIL,2563585
2017,CHIMBORAZO,434234.0,CUENCA,393502
2017,CHIMBORAZO,434234.0,MACHALA,265218
2017,CHIMBORAZO,434234.0,AMBATO,188805
2017,EL ORO,667337.0,QUITO,1907739
2017,EL ORO,667337.0,GUAYAQUIL,2563585
2017,EL ORO,667337.0,CUENCA,393502
2017,EL ORO,667337.0,MACHALA,265218
2017,EL ORO,667337.0,AMBATO,188805
2017,ESMERALDAS,895044.0,QUITO,1907739
2017,ESMERALDAS,895044.0,GUAYAQUIL,2563585
2017,ESMERALDAS,895044.0,CUENCA,393502
2017,ESMERALDAS,895044.0,MACHALA,265218
2017,ESMERALDAS,895044.0,AMBATO,188805
2017,GUAYAS,3885410.0,QUITO,1907739
2017,GUAYAS,3885410.0,GUAYAQUIL,2563585
2017,GUAYAS,3885410.0,CUENCA,393502
2017,GUAYAS,3885410.0,MACHALA,265218
2017,GUAYAS,3885410.0,AMBATO,188805
2017,IMBABURA,483366.0,QUITO,1907739
2017,IMBABURA,483366.0,GUAYAQUIL,2563585
2017,IMBABURA,483366.0,CUENCA,393502
2017,IMBABURA,483366.0,MACHALA,265218
2017,IMBABURA,483366.0,AMBATO,188805
2017,LOJA,413059.0,QUITO,1907739
2017,LOJA,413059.0,GUAYAQUIL,2563585
2017,LOJA,413059.0,CUENCA,393502
2017,LOJA,413059.0,MACHALA,265218
2017,LOJA,413059.0,AMBATO,188805
2017,LOS RIOS,974376.0,QUITO,1907739
2017,LOS RIOS,974376.0,GUAYAQUIL,2563585
2017,LOS RIOS,974376.0,CUENCA,393502
2017,LOS RIOS,974376.0,MACHALA,265218
2017,LOS RIOS,974376.0,AMBATO,188805
2017,MANABI,1456867.0,QUITO,1907739
2017,MANABI,1456867.0,GUAYAQUIL,2563585
2017,MANABI,1456867.0,CUENCA,393502
2017,MANABI,1456867.0,MACHALA,265218
2017,MANABI,1456867.0,AMBATO,188805
2017,MORONA SANTIAGO,199016.0,QUITO,1907739
2017,MORONA SANTIAGO,199016.0,GUAYAQUIL,2563585
2017,MORONA SANTIAGO,199016.0,CUENCA,393502
2017,MORONA SANTIAGO,199016.0,MACHALA,265218
2017,MORONA SANTIAGO,199016.0,AMBATO,188805
2017,NAPO,138158.0,QUITO,1907739
2017,NAPO,138158.0,GUAYAQUIL,2563585
2017,NAPO,138158.0,CUENCA,393502
2017,NAPO,138158.0,MACHALA,265218
2017,NAPO,138158.0,AMBATO,188805
2017,PASTAZA,141674.0,QUITO,1907739
2017,PASTAZA,141674.0,GUAYAQUIL,2563585
2017,PASTAZA,141674.0,CUENCA,393502
2017,PASTAZA,141674.0,MACHALA,265218
2017,PASTAZA,141674.0,AMBATO,188805
2017,PICHINCHA,2632359.0,QUITO,1907739
2017,PICHINCHA,2632359.0,GUAYAQUIL,2563585
2017,PICHINCHA,2632359.0,CUENCA,393502
2017,PICHINCHA,2632359.0,MACHALA,265218
2017,PICHINCHA,2632359.0,AMBATO,188805
2017,TUNGURAHUA,637610.0,QUITO,1907739
2017,TUNGURAHUA,637610.0,GUAYAQUIL,2563585
2017,TUNGURAHUA,637610.0,CUENCA,393502
2017,TUNGURAHUA,637610.0,MACHALA,265218
2017,TUNGURAHUA,637610.0,AMBATO,188805
2017,ZAMORA CHINCHIPE,97496.0,QUITO,1907739
2017,ZAMORA CHINCHIPE,97496.0,GUAYAQUIL,2563585
2017,ZAMORA CHINCHIPE,97496.0,CUENCA,393502
2017,ZAMORA CHINCHIPE,97496.0,MACHALA,265218
2017,ZAMORA CHINCHIPE,97496.0,AMBATO,188805
2017,GALAPAGOS,34225.0,QUITO,1907739
2017,GALAPAGOS,34225.0,GUAYAQUIL,2563585
2017,GALAPAGOS,34225.0,CUENCA,393502
2017,GALAPAGOS,34225.0,MACHALA,265218
2017,GALAPAGOS,34225.0,AMBATO,188805
2017,SUCUMBIOS,186371.0,QUITO,1907739
2017,SUCUMBIOS,186371.0,GUAYAQUIL,2563585
2017,SUCUMBIOS,186371.0,CUENCA,393502
2017,SUCUMBIOS,186371.0,MACHALA,265218
2017,SUCUMBIOS,186371.0,AMBATO,188805
2017,ORELLANA,158125.0,QUITO,1907739
2017,ORELLANA,158125.0,GUAYAQUIL,2563585
2017,ORELLANA,158125.0,CUENCA,393502
2017,ORELLANA,158125.0,MACHALA,265218
2017,ORELLANA,158125.0,AMBATO,188805
2017,SANTO DOMINGO DE LOS TSACHILAS,460444.0,QUITO,1907739
2017,SANTO DOMINGO DE LOS TSACHILAS,460444.0,GUAYAQUIL,2563585
2017,SANTO DOMINGO DE LOS TSACHILAS,460444.0,CUENCA,393502
2017,SANTO DOMINGO DE LOS TSACHILAS,460444.0,MACHALA,265218
2017,SANTO DOMINGO DE LOS TSACHILAS,460444.0,AMBATO,188805
2017,SANTA ELENA,480931.0,QUITO,1907739
2017,SANTA ELENA,480931.0,GUAYAQUIL,2563585
2017,SANTA ELENA,480931.0,CUENCA,393502
2017,SANTA ELENA,480931.0,MACHALA,265218
2017,SANTA ELENA,480931.0,AMBATO,188805
2018,AZUAY,819705.0,QUITO,1941789
2018,AZUAY,819705.0,GUAYAQUIL,2599084
2018,AZUAY,819705.0,CUENCA,400655
2018,AZUAY,819705.0,MACHALA,269037
2018,AZUAY,819705.0,AMBATO,191652
2018,BOLIVAR,202919.5,QUITO,1941789
2018,BOLIVAR,202919.5,GUAYAQUIL,2599084
2018,BOLIVAR,202919.5,CUENCA,400655
2018,BOLIVAR,202919.5,MACHALA,269037
2018,BOLIVAR,202919.5,AMBATO,191652
2018,CAÑAR,247750.5,QUITO,1941789
2018,CAÑAR,247750.5,GUAYAQUIL,2599084
2018,CAÑAR,247750.5,CUENCA,400655
2018,CAÑAR,247750.5,MACHALA,269037
2018,CAÑAR,247750.5,AMBATO,191652
2018,CARCHI,177843.5,QUITO,1941789
2018,CARCHI,177843.5,GUAYAQUIL,2599084
2018,CARCHI,177843.5,CUENCA,400655
2018,CARCHI,177843.5,MACHALA,269037
2018,CARCHI,177843.5,AMBATO,191652
2018,COTOPAXI,471598.0,QUITO,1941789
2018,COTOPAXI,471598.0,GUAYAQUIL,2599084
2018,COTOPAXI,471598.0,CUENCA,400655
2018,COTOPAXI,471598.0,MACHALA,269037
2018,COTOPAXI,471598.0,AMBATO,191652
2018,CHIMBORAZO,471933.0,QUITO,1941789
2018,CHIMBORAZO,471933.0,GUAYAQUIL,2599084
2018,CHIMBORAZO,471933.0,CUENCA,400655
2018,CHIMBORAZO,471933.0,MACHALA,269037
2018,CHIMBORAZO,471933.0,AMBATO,191652
2018,EL ORO,700011.5,QUITO,1941789
2018,EL ORO,700011.5,GUAYAQUIL,2599084
2018,EL ORO,700011.5,CUENCA,400655
2018,EL ORO,700011.5,MACHALA,269037
2018,EL ORO,700011.5,AMBATO,191652
2018,ESMERALDAS,585114.5,QUITO,1941789
2018,ESMERALDAS,585114.5,GUAYAQUIL,2599084
2018,ESMERALDAS,585114.5,CUENCA,400655
2018,ESMERALDAS,585114.5,MACHALA,269037
2018,ESMERALDAS,585114.5,AMBATO,191652
2018,GUAYAS,4282136.5,QUITO,1941789
2018,GUAYAS,4282136.5,GUAYAQUIL,2599084
2018,GUAYAS,4282136.5,CUENCA,400655
2018,GUAYAS,4282136.5,MACHALA,269037
2018,GUAYAS,4282136.5,AMBATO,191652
2018,IMBABURA,469879.0,QUITO,1941789
2018,IMBABURA,469879.0,GUAYAQUIL,2599084
2018,IMBABURA,469879.0,CUENCA,400655
2018,IMBABURA,469879.0,MACHALA,269037
2018,IMBABURA,469879.0,AMBATO,191652
2018,LOJA,485421.0,QUITO,1941789
2018,LOJA,485421.0,GUAYAQUIL,2599084
2018,LOJA,485421.0,CUENCA,400655
2018,LOJA,485421.0,MACHALA,269037
2018,LOJA,485421.0,AMBATO,191652
2018,LOS RIOS,898652.0,QUITO,1941789
2018,LOS RIOS,898652.0,GUAYAQUIL,2599084
2018,LOS RIOS,898652.0,CUENCA,400655
2018,LOS RIOS,898652.0,MACHALA,269037
2018,LOS RIOS,898652.0,AMBATO,191652
2018,MANABI,1557582.0,QUITO,1941789
2018,MANABI,1557582.0,GUAYAQUIL,2599084
2018,MANABI,1557582.0,CUENCA,400655
2018,MANABI,1557582.0,MACHALA,269037
2018,MANABI,1557582.0,AMBATO,191652
2018,MORONA SANTIAGO,192508.0,QUITO,1941789
2018,MORONA SANTIAGO,192508.0,GUAYAQUIL,2599084
2018,MORONA SANTIAGO,192508.0,CUENCA,400655
2018,MORONA SANTIAGO,192508.0,MACHALA,269037
2018,MORONA SANTIAGO,192508.0,AMBATO,191652
2018,NAPO,131675.0,QUITO,1941789
2018,NAPO,131675.0,GUAYAQUIL,2599084
2018,NAPO,131675.0,CUENCA,400655
2018,NAPO,131675.0,MACHALA,269037
2018,NAPO,131675.0,AMBATO,191652
2018,PASTAZA,111915.0,QUITO,1941789
2018,PASTAZA,111915.0,GUAYAQUIL,2599084
2018,PASTAZA,111915.0,CUENCA,400655
2018,PASTAZA,111915.0,MACHALA,269037
2018,PASTAZA,111915.0,AMBATO,191652
2018,PICHINCHA,3064335.5,QUITO,1941789
2018,PICHINCHA,3064335.5,GUAYAQUIL,2599084
2018,PICHINCHA,3064335.5,CUENCA,400655
2018,PICHINCHA,3064335.5,MACHALA,269037
2018,PICHINCHA,3064335.5,AMBATO,191652
2018,TUNGURAHUA,568452.5,QUITO,1941789
2018,TUNGURAHUA,568452.5,GUAYAQUIL,2599084
2018,TUNGURAHUA,568452.5,CUENCA,400655
2018,TUNGURAHUA,568452.5,MACHALA,269037
2018,TUNGURAHUA,568452.5,AMBATO,191652
2018,ZAMORA CHINCHIPE,110973.0,QUITO,1941789
2018,ZAMORA CHINCHIPE,110973.0,GUAYAQUIL,2599084
2018,ZAMORA CHINCHIPE,110973.0,CUENCA,400655
2018,ZAMORA CHINCHIPE,110973.0,MACHALA,269037
2018,ZAMORA CHINCHIPE,110973.0,AMBATO,191652
2018,GALAPAGOS,29557.5,QUITO,1941789
2018,GALAPAGOS,29557.5,GUAYAQUIL,2599084
2018,GALAPAGOS,29557.5,CUENCA,400655
2018,GALAPAGOS,29557.5,MACHALA,269037
2018,GALAPAGOS,29557.5,AMBATO,191652
2018,SUCUMBIOS,199014.0,QUITO,1941789
2018,SUCUMBIOS,199014.0,GUAYAQUIL,2599084
2018,SUCUMBIOS,199014.0,CUENCA,400655
2018,SUCUMBIOS,199014.0,MACHALA,269037
2018,SUCUMBIOS,199014.0,AMBATO,191652
